Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
326,1,77183.6,1,1,4,114,Lost Customers
2,7,4310.0,4,4,4,444,Champions
75,4,1437.24,2,3,3,233,At Risk
19,1,1457.55,3,1,3,313,Lost Customers
310,1,294.4,1,1,1,111,Lost Customers
36,7,1385.74,3,4,3,343,Loyal Customers
204,1,89.0,1,1,1,111,Lost Customers
232,1,1079.4,1,1,3,113,Lost Customers
214,1,459.4,1,1,2,112,Lost Customers
23,3,2487.43,3,3,4,334,Loyal Customers
33,1,6207.67,3,1,4,314,Lost Customers
2,2,928.0600000000001,4,2,3,423,Lost Customers
58,4,6372.58,2,3,4,234,At Risk
52,3,2302.06,2,3,4,234,At Risk
287,1,174.9,1,1,1,111,Lost Customers
3,10,4737.23,4,4,4,444,Champions
110,2,552.0,2,2,2,222,Lost Customers
8,4,1208.1,4,3,3,433,Loyal Customers
291,1,320.69,1,1,2,112,Lost Customers
4,1,150.9,4,1,1,411,Lost Customers
51,4,3425.69,3,3,4,334,Loyal Customers
60,1,1527.96,2,1,3,213,Lost Customers
72,3,1196.04,2,3,3,233,At Risk
311,1,324.6,1,1,2,112,Lost Customers
25,1,622.93,3,1,2,312,Lost Customers
11,2,377.5,4,2,2,422,Lost Customers
315,2,1548.12,1,2,3,123,Lost Customers
130,1,4008.62,2,1,4,214,Lost Customers
82,2,777.24,2,2,3,223,Lost Customers
22,4,2427.81,3,3,4,334,Loyal Customers
5,3,1474.81,4,3,3,433,Loyal Customers
185,5,1628.56,1,3,3,133,At Risk
29,2,425.27000000000004,3,2,2,322,Lost Customers
338,2,401.9,1,2,2,122,Lost Customers
16,6,2780.66,4,4,4,444,Champions
80,1,504.84000000000003,2,1,2,212,Lost Customers
22,1,460.89,3,1,2,312,Lost Customers
72,4,1582.6000000000001,2,3,3,233,At Risk
64,2,1080.48,2,2,3,223,Lost Customers
19,12,2682.63,3,4,4,344,Loyal Customers
36,2,2214.9,3,2,4,324,Lost Customers
46,1,1435.66,3,1,3,313,Lost Customers
119,4,1033.65,2,3,3,233,At Risk
303,1,69.3,1,1,1,111,Lost Customers
323,1,195.6,1,1,1,111,Lost Customers
50,1,391.7,3,1,2,312,Lost Customers
149,1,1390.39,1,1,3,113,Lost Customers
22,2,3415.3,3,2,4,324,Lost Customers
50,5,1507.1200000000001,3,3,3,333,Loyal Customers
33,5,2618.55,3,3,4,334,Loyal Customers
79,3,11072.67,2,3,4,234,At Risk
309,2,533.33,1,2,2,122,Lost Customers
75,3,1142.88,2,3,3,233,At Risk
67,3,686.1,2,3,3,233,At Risk
217,3,442.41,1,3,2,132,At Risk
24,20,124564.53,3,4,4,344,Loyal Customers
3,9,3226.1,4,4,4,444,Champions
113,1,668.58,2,1,3,213,Lost Customers
64,1,600.39,2,1,2,212,Lost Customers
16,4,639.04,4,3,2,432,Loyal Customers
96,3,683.5600000000001,2,3,3,233,At Risk
1,8,1634.31,4,4,4,444,Champions
163,2,1760.96,1,2,4,124,Lost Customers
78,1,777.2,2,1,3,213,Lost Customers
195,1,510.73,1,1,2,112,Lost Customers
22,3,699.8,3,3,3,333,Loyal Customers
26,8,6405.26,3,4,4,344,Loyal Customers
9,4,3388.4,4,3,4,434,Loyal Customers
43,1,216.4,3,1,1,311,Lost Customers
36,15,6382.45,3,4,4,344,Loyal Customers
43,4,4359.32,3,3,4,334,Loyal Customers
1,7,13375.87,4,4,4,444,Champions
85,2,806.14,2,2,3,223,Lost Customers
80,2,7829.89,2,2,4,224,Lost Customers
100,1,429.01000000000005,2,1,2,212,Lost Customers
2,18,4447.41,4,4,4,444,Champions
14,2,2466.85,4,2,4,424,Lost Customers
367,1,155.55,1,1,1,111,Lost Customers
3,1,144.06,4,1,1,411,Lost Customers
21,5,4085.46,3,3,4,334,Loyal Customers
22,1,77.4,3,1,1,311,Lost Customers
58,1,1002.3100000000001,2,1,3,213,Lost Customers
243,1,431.49,1,1,2,112,Lost Customers
44,1,365.45,3,1,2,312,Lost Customers
22,4,3596.29,3,3,4,334,Loyal Customers
156,2,197.88,1,2,1,121,Lost Customers
11,5,8995.52,4,3,4,434,Loyal Customers
17,1,348.57,4,1,2,412,Lost Customers
134,1,707.09,2,1,3,213,Lost Customers
56,1,3528.34,2,1,4,214,Lost Customers
73,5,2339.86,2,3,4,234,At Risk
44,3,2581.04,3,3,4,334,Loyal Customers
66,6,2043.23,2,4,4,244,At Risk
71,2,787.4,2,2,3,223,Lost Customers
155,1,626.88,1,1,2,112,Lost Customers
19,2,937.59,3,2,3,323,Lost Customers
53,4,1200.78,2,3,3,233,At Risk
10,8,957.05,4,4,3,443,Loyal Customers
17,2,682.1899999999999,4,2,3,423,Lost Customers
188,2,657.54,1,2,2,122,Lost Customers
2,27,17424.05,4,4,4,444,Champions
32,7,6068.11,3,4,4,344,Loyal Customers
54,3,2596.23,2,3,4,234,At Risk
17,18,6745.79,4,4,4,444,Champions
54,1,669.38,2,1,3,213,Lost Customers
16,11,5898.42,4,4,4,444,Champions
23,6,13219.74,3,4,4,344,Loyal Customers
4,1,545.99,4,1,2,412,Lost Customers
11,1,473.2,4,1,2,412,Lost Customers
28,4,2885.63,3,3,4,334,Loyal Customers
23,10,5020.32,3,4,4,344,Loyal Customers
17,8,1910.98,4,4,4,444,Champions
35,4,3953.72,3,3,4,334,Loyal Customers
10,3,1244.66,4,3,3,433,Loyal Customers
336,1,298.93,1,1,1,111,Lost Customers
5,10,4859.93,4,4,4,444,Champions
39,1,424.40000000000003,3,1,2,312,Lost Customers
63,2,227.21,2,2,1,221,Lost Customers
166,2,379.74,1,2,2,122,Lost Customers
16,7,1084.1000000000001,4,4,3,443,Loyal Customers
82,1,953.1,2,1,3,213,Lost Customers
21,3,349.70000000000005,3,3,2,332,Loyal Customers
23,11,4059.82,3,4,4,344,Loyal Customers
337,1,2025.39,1,1,4,114,Lost Customers
96,5,2995.87,2,3,4,234,At Risk
18,2,428.04999999999995,4,2,2,422,Lost Customers
233,1,73.5,1,1,1,111,Lost Customers
134,3,1052.81,2,3,3,233,At Risk
26,2,398.27,3,2,2,322,Lost Customers
284,1,158.5,1,1,1,111,Lost Customers
143,2,814.5699999999999,2,2,3,223,Lost Customers
66,2,138.03,2,2,1,221,Lost Customers
113,1,558.29,2,1,2,212,Lost Customers
267,1,1017.68,1,1,3,113,Lost Customers
353,1,278.7,1,1,1,111,Lost Customers
78,2,1186.06,2,2,3,223,Lost Customers
28,4,2322.84,3,3,4,334,Loyal Customers
1,5,1840.89,4,3,4,434,Loyal Customers
64,1,286.84,2,1,1,211,Lost Customers
79,5,2346.2599999999998,2,3,4,234,At Risk
143,1,545.68,2,1,2,212,Lost Customers
39,2,156.72,3,2,1,321,Lost Customers
19,11,1699.77,3,4,4,344,Loyal Customers
9,8,3945.72,4,4,4,444,Champions
1,3,1172.66,4,3,3,433,Loyal Customers
82,3,330.71000000000004,2,3,2,232,At Risk
9,6,1645.48,4,4,4,444,Champions
60,4,1500.28,2,3,3,233,At Risk
15,1,125.22,4,1,1,411,Lost Customers
30,1,313.83000000000004,3,1,2,312,Lost Customers
131,1,981.18,2,1,3,213,Lost Customers
92,2,716.35,2,2,3,223,Lost Customers
59,1,4279.71,2,1,4,214,Lost Customers
29,1,363.95,3,1,2,312,Lost Customers
22,4,5568.35,3,3,4,334,Loyal Customers
20,17,11580.24,3,4,4,344,Loyal Customers
30,3,841.18,3,3,3,333,Loyal Customers
36,1,316.7,3,1,2,312,Lost Customers
75,2,832.39,2,2,3,223,Lost Customers
47,2,1021.5,3,2,3,323,Lost Customers
198,2,151.79999999999998,1,2,1,121,Lost Customers
166,1,67.19999999999999,1,1,1,111,Lost Customers
79,1,824.83,2,1,3,213,Lost Customers
358,1,168.0,1,1,1,111,Lost Customers
40,1,317.82,3,1,2,312,Lost Customers
8,10,3278.28,4,4,4,444,Champions
50,2,603.71,3,2,2,322,Lost Customers
16,5,11990.960000000001,4,3,4,434,Loyal Customers
8,1,269.96,4,1,1,411,Lost Customers
311,2,525.71,1,2,2,122,Lost Customers
5,2,1918.01,4,2,4,424,Lost Customers
303,1,238.85,1,1,1,111,Lost Customers
8,7,3385.7400000000002,4,4,4,444,Champions
261,1,402.9,1,1,2,112,Lost Customers
289,1,145.92,1,1,1,111,Lost Customers
86,1,297.65,2,1,1,211,Lost Customers
23,10,8609.28,3,4,4,344,Loyal Customers
2,32,3152.69,4,4,4,444,Champions
40,2,519.61,3,2,2,322,Lost Customers
9,2,912.42,4,2,3,423,Lost Customers
227,1,160.54000000000002,1,1,1,111,Lost Customers
316,1,182.45000000000002,1,1,1,111,Lost Customers
36,5,1315.83,3,3,3,333,Loyal Customers
35,3,653.85,3,3,2,332,Loyal Customers
21,2,2402.51,3,2,4,324,Lost Customers
78,1,386.42,2,1,2,212,Lost Customers
247,1,379.7,1,1,2,112,Lost Customers
40,1,179.71,3,1,1,311,Lost Customers
239,2,351.36,1,2,2,122,Lost Customers
3,15,6705.38,4,4,4,444,Champions
4,9,2254.15,4,4,4,444,Champions
234,2,1824.1,1,2,4,124,Lost Customers
17,1,196.94000000000003,4,1,1,411,Lost Customers
8,1,104.0,4,1,1,411,Lost Customers
39,1,174.89999999999998,3,1,1,311,Lost Customers
29,2,574.68,3,2,2,322,Lost Customers
211,1,9341.26,1,1,4,114,Lost Customers
317,1,368.85,1,1,2,112,Lost Customers
92,2,401.6,2,2,2,222,Lost Customers
109,3,382.09999999999997,2,3,2,232,At Risk
38,9,3208.2200000000003,3,4,4,344,Loyal Customers
51,2,450.27,3,2,2,322,Lost Customers
19,4,3195.22,3,3,4,334,Loyal Customers
10,7,2807.08,4,4,4,444,Champions
29,7,888.58,3,4,3,343,Loyal Customers
29,10,2311.04,3,4,4,344,Loyal Customers
190,5,487.06,1,3,2,132,At Risk
59,1,153.12,2,1,1,211,Lost Customers
22,1,613.1999999999999,3,1,2,312,Lost Customers
79,2,236.18,2,2,1,221,Lost Customers
60,1,1579.51,2,1,3,213,Lost Customers
78,3,964.85,2,3,3,233,At Risk
23,4,1747.54,3,3,4,334,Loyal Customers
52,1,1193.32,2,1,3,213,Lost Customers
74,1,668.0400000000001,2,1,2,212,Lost Customers
57,4,3092.38,2,3,4,234,At Risk
278,1,315.6,1,1,2,112,Lost Customers
2,4,2093.19,4,3,4,434,Loyal Customers
95,2,641.3,2,2,2,222,Lost Customers
29,1,355.53,3,1,2,312,Lost Customers
22,1,137.31,3,1,1,311,Lost Customers
16,8,2945.56,4,4,4,444,Champions
15,3,1303.41,4,3,3,433,Loyal Customers
2,20,12411.67,4,4,4,444,Champions
232,1,162.1,1,1,1,111,Lost Customers
276,1,269.1,1,1,1,111,Lost Customers
106,2,569.13,2,2,2,222,Lost Customers
212,2,2413.82,1,2,4,124,Lost Customers
23,9,5954.48,3,4,4,344,Loyal Customers
11,6,4082.53,4,4,4,444,Champions
4,3,732.46,4,3,3,433,Loyal Customers
10,2,1030.88,4,2,3,423,Lost Customers
57,1,480.5,2,1,2,212,Lost Customers
59,4,1929.98,2,3,4,234,At Risk
90,2,1509.18,2,2,3,223,Lost Customers
67,8,5823.9,2,4,4,244,At Risk
33,1,511.69,3,1,2,312,Lost Customers
239,1,366.1,1,1,2,112,Lost Customers
24,3,994.58,3,3,3,333,Loyal Customers
115,1,145.9,2,1,1,211,Lost Customers
25,3,905.26,3,3,3,333,Loyal Customers
128,6,3041.64,2,4,4,244,At Risk
130,1,477.91,2,1,2,212,Lost Customers
34,4,1631.18,3,3,3,333,Loyal Customers
5,2,1346.97,4,2,3,423,Lost Customers
22,12,3146.82,3,4,4,344,Loyal Customers
155,1,300.05,1,1,1,111,Lost Customers
107,3,569.51,2,3,2,232,At Risk
3,1,242.44000000000003,4,1,1,411,Lost Customers
335,1,114.0,1,1,1,111,Lost Customers
331,1,793.98,1,1,3,113,Lost Customers
149,2,2209.85,1,2,4,124,Lost Customers
11,5,529.98,4,3,2,432,Loyal Customers
17,5,3619.17,4,3,4,434,Loyal Customers
11,4,1427.18,4,3,3,433,Loyal Customers
19,1,632.05,3,1,2,312,Lost Customers
30,1,73.68,3,1,1,311,Lost Customers
11,1,227.1,4,1,1,411,Lost Customers
1,11,3543.78,4,4,4,444,Champions
