Description,Revenue
REGENCY CAKESTAND 3 TIER,174484.74
"PAPER CRAFT , LITTLE BIRDIE",168469.6
WHITE HANGING HEART T-LIGHT HOLDER,106292.77
PARTY BUNTING,99504.33
JUMBO BAG RED RETROSPOT,94340.05
MEDIUM CERAMIC TOP STORAGE JAR,81700.92000000001
RABBIT NIGHT LIGHT,66964.99
PAPER CHAIN KIT 50'S CHRISTMAS ,64952.29
ASSORTED COLOUR BIRD ORNAMENT,59094.93
CHILLI LIGHTS,54117.76
SPOTTY BUNTING,42548.130000000005
JUMBO BAG PINK POLKADOT,42436.24
BLACK RECORD COVER FRAME,40652.13
PICNIC BASKET WICKER 60 PIECES,39619.5
DOORMAT KEEP CALM AND COME IN,38166.64
SET OF 3 CAKE TINS PANTRY DESIGN ,38158.39
JAM MAKING SET WITH JARS,37128.88
WOOD BLACK BOARD ANT WHITE FINISH,36030.22
LUNCH BAG RED RETROSPOT,35752.01
POPCORN HOLDER,34298.87
